artist_uri,artist_name,duration_min,explicit,track_name,popularity
spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,2.306433333333333,FALSE,Blackbird - Remastered 2009,73
spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,2.326,FALSE,Help! - Remastered 2009,71
spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,3.0955500000000002,FALSE,Here Comes The Sun - Remastered 2009,83
spotify:artist:4pJCawaKSZ40EnxN0YEYw3,Badfinger,4.7248833333333335,FALSE,Without You - Remastered 2010,56
spotify:artist:4pJCawaKSZ40EnxN0YEYw3,Badfinger,5.1433333333333335,FALSE,Perfection - Remastered 2010,47
spotify:artist:4pJCawaKSZ40EnxN0YEYw3,Badfinger,3.0090999999999997,FALSE,No Matter What - Remastered 2010,68
spotify:artist:3sFhA6G1N0gG1pszb6kk1m,Wings,4.830216666666667,FALSE,Let Me Roll It - Remastered 2010,56
spotify:artist:3sFhA6G1N0gG1pszb6kk1m,Wings,5.746216666666667,FALSE,With A Little Luck - Remastered 1993,54
spotify:artist:3sFhA6G1N0gG1pszb6kk1m,Wings,5.2171,FALSE,Band On The Run - Remastered 2010,72
spotify:artist:1PCZpxHJz7WAMF8EEq8bfc,The Byrds,2.064,FALSE,Wasn't Born to Follow,53
spotify:artist:1PCZpxHJz7WAMF8EEq8bfc,The Byrds,3.29555,FALSE,Lay Lady Lay - Alternative Version,47
spotify:artist:1PCZpxHJz7WAMF8EEq8bfc,The Byrds,3.822666666666667,FALSE,Turn! Turn! Turn! (To Everything There Is a Season),65
spotify:artist:3i9hP422d2KMjaupTzBNVS,The Spencer Davis Group,2.7404333333333333,FALSE,Keep On Running - Live,37
spotify:artist:3i9hP422d2KMjaupTzBNVS,The Spencer Davis Group,3.9457666666666666,FALSE,Short Change,35
spotify:artist:3i9hP422d2KMjaupTzBNVS,The Spencer Davis Group,2.9806666666666666,FALSE,Gimme Some Lovin' - Single Mix,59
spotify:artist:24Wa5wIZIo1sPkzVGP0B5p,Pete Townshend,5.782883333333333,FALSE,Give Blood,43
spotify:artist:24Wa5wIZIo1sPkzVGP0B5p,Pete Townshend,4.234883333333333,FALSE,Save It For Later - Live,37
spotify:artist:24Wa5wIZIo1sPkzVGP0B5p,Pete Townshend,2.7442166666666665,FALSE,Let My Love Open The Door,67
spotify:artist:2jgPkn6LuUazBoBk6vvjh5,The Zombies,2.11,FALSE,Tell Her No,50
spotify:artist:2jgPkn6LuUazBoBk6vvjh5,The Zombies,1.6657666666666666,FALSE,What More Can I Do,46
spotify:artist:2jgPkn6LuUazBoBk6vvjh5,The Zombies,3.5671000000000004,FALSE,Time of the Season - Mono Version,67
spotify:artist:5I6MzhNEMk27cZsCqGAIYo,The Youngbloods,2.4091,FALSE,Grizzly Bear,23
spotify:artist:5I6MzhNEMk27cZsCqGAIYo,The Youngbloods,2.3391,FALSE,Statesboro Blues,21
spotify:artist:5I6MzhNEMk27cZsCqGAIYo,The Youngbloods,4.6546666666666665,FALSE,Get Together,56
spotify:artist:1YqGsKpdixxSVgpfaL2AEQ,Small Faces,2.7007666666666665,FALSE,The Universal - 2013 Remaster,39
spotify:artist:1YqGsKpdixxSVgpfaL2AEQ,Small Faces,2.902216666666667,FALSE,Sha La La La Lee - Mono Version,35
spotify:artist:1YqGsKpdixxSVgpfaL2AEQ,Small Faces,2.778,FALSE,Itchycoo Park (Mono Version) - 2012 Remaster,56
spotify:artist:2HBbky0Z08ZcCKVsXWbNE4,The Dave Clark Five,2.72755,FALSE,Do You Love Me - 2019 - Remaster,38
spotify:artist:2HBbky0Z08ZcCKVsXWbNE4,The Dave Clark Five,2.49555,FALSE,Any Way You Want It - 2019 - Remaster,31
spotify:artist:2HBbky0Z08ZcCKVsXWbNE4,The Dave Clark Five,2.3737500000000002,FALSE,Because - 2019 - Remaster,54
